,GAMES,name,released,prise,offers
0,Total War: WARHAMMER III,"<span class=""title"">Total War: WARHAMMER III</span>","<div class=""col search_released responsive_secondrow"">
                    16 Feb, 2022                </div>","<div class=""discount_final_price"">₹2,249.00</div>","<div class=""discount_pct"">-50%</div>"
1,Total War: WARHAMMER II,"<span class=""title"">Total War: WARHAMMER II</span>","<div class=""col search_released responsive_secondrow"">
                    28 Sep, 2017                </div>","<div class=""discount_final_price"">₹749.00</div>","<div class=""discount_pct"">-75%</div>"
2,Total War: WARHAMMER TRILOGY,"<span class=""title"">Total War: WARHAMMER TRILOGY</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹3,561.00</div>","<div class=""discount_pct"">-66%</div>"
3,Total War: Warhammer III Collection,"<span class=""title"">Total War: Warhammer III Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹5,795.00</div>","<div class=""discount_pct"">-41%</div>"
4,Total War: WARHAMMER,"<span class=""title"">Total War: WARHAMMER</span>","<div class=""col search_released responsive_secondrow"">
                    24 May, 2016                </div>","<div class=""discount_final_price"">₹749.00</div>","<div class=""discount_pct"">-75%</div>"
5,Total War: WARHAMMER III – Thrones of Decay,"<span class=""title"">Total War: WARHAMMER III – Thrones of Decay</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹1,722.00</div>","<div class=""discount_pct"">-15%</div>"
6,"Warhammer 40,000: Gladius - Relics of War","<span class=""title"">Warhammer 40,000: Gladius - Relics of War</span>","<div class=""col search_released responsive_secondrow"">
                    12 Jul, 2018                </div>","<div class=""discount_final_price"">₹0.00</div>","<div class=""discount_pct"">-100%</div>"
7,Total War: WARHAMMER II Collection,"<span class=""title"">Total War: WARHAMMER II Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹3,671.00</div>","<div class=""discount_pct"">-61%</div>"
8,Total War: WARHAMMER III - Forge of the Chaos Dwarfs,"<span class=""title"">Total War: WARHAMMER III - Forge of the Chaos Dwarfs</span>","<div class=""col search_released responsive_secondrow"">
                    13 Apr, 2023                </div>","<div class=""discount_final_price"">₹1,274.00</div>","<div class=""discount_pct"">-25%</div>"
9,Total War: WARHAMMER III - Shadows of Change,"<span class=""title"">Total War: WARHAMMER III - Shadows of Change</span>","<div class=""col search_released responsive_secondrow"">
                    31 Aug, 2023                </div>","<div class=""discount_final_price"">₹1,359.00</div>","<div class=""discount_pct"">-20%</div>"
10,"Warhammer 40,000: Dawn of War II: Retribution","<span class=""title"">Warhammer 40,000: Dawn of War II: Retribution</span>","<div class=""col search_released responsive_secondrow"">
                    28 Feb, 2011                </div>","<div class=""discount_final_price"">₹297.00</div>","<div class=""discount_pct"">-80%</div>"
11,Middle-earth™: Shadow of War™,"<span class=""title"">Middle-earth™: Shadow of War™</span>","<div class=""col search_released responsive_secondrow"">
                    9 Oct, 2017                </div>","<div class=""discount_final_price"">₹216.00</div>","<div class=""discount_pct"">-90%</div>"
12,The Witcher 3: Wild Hunt - Complete Edition,"<span class=""title"">The Witcher 3: Wild Hunt - Complete Edition</span>","<div class=""col search_released responsive_secondrow"">
                    30 Aug, 2016                </div>","<div class=""discount_final_price"">₹550.00</div>","<div class=""discount_pct"">-75%</div>"
13,Assassin's Creed® Odyssey,"<span class=""title"">Assassin's Creed® Odyssey</span>","<div class=""col search_released responsive_secondrow"">
                    5 Oct, 2018                </div>","<div class=""discount_final_price"">₹449.00</div>","<div class=""discount_pct"">-85%</div>"
14,The Witcher® 3: Wild Hunt,"<span class=""title"">The Witcher® 3: Wild Hunt</span>","<div class=""col search_released responsive_secondrow"">
                    18 May, 2015                </div>","<div class=""discount_final_price"">₹425.00</div>","<div class=""discount_pct"">-75%</div>"
15,Besiege,"<span class=""title"">Besiege</span>","<div class=""col search_released responsive_secondrow"">
                    18 Feb, 2020                </div>","<div class=""discount_final_price"">₹172.00</div>","<div class=""discount_pct"">-75%</div>"
16,Total War: WARHAMMER Collection,"<span class=""title"">Total War: WARHAMMER Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹2,684.00</div>","<div class=""discount_pct"">-63%</div>"
17,Borderlands 3,"<span class=""title"">Borderlands 3</span>","<div class=""col search_released responsive_secondrow"">
                    13 Mar, 2020                </div>","<div class=""discount_final_price"">₹448.00</div>","<div class=""discount_pct"">-85%</div>"
18,"Warhammer 40,000: Space Marine - Anniversary Edition","<span class=""title"">Warhammer 40,000: Space Marine - Anniversary Edition</span>","<div class=""col search_released responsive_secondrow"">
                    5 Sep, 2011                </div>","<div class=""discount_final_price"">₹599.00</div>","<div class=""discount_pct"">-80%</div>"
19,Total War: WARHAMMER III - Champions of Chaos,"<span class=""title"">Total War: WARHAMMER III - Champions of Chaos</span>","<div class=""col search_released responsive_secondrow"">
                    23 Aug, 2022                </div>","<div class=""discount_final_price"">₹669.00</div>","<div class=""discount_pct"">-33%</div>"
20,"Warhammer 40,000: Battlesector","<span class=""title"">Warhammer 40,000: Battlesector</span>","<div class=""col search_released responsive_secondrow"">
                    22 Jul, 2021                </div>","<div class=""discount_final_price"">₹800.00</div>","<div class=""discount_pct"">-50%</div>"
